date,pmb,text
1909-02-23,63,"Hietzing"
1909-02-23,44129,"Messina"
1913-10-14,883,"Wiesbaden"
1913-10-14,,"Frankfurter"
1910-09-15,882,"Heidelberg"
1910-09-15,146,"Frankfurt a. M."
1918-02-04,20,"Volkstheater"
1900-06-28,213,"Ischl"
1927-03-22,265,"Dalmatien"
1927-03-22,43520,"Meran"
1893-08-09,91377,"St. Veit"
1930-11-02,168,"Berlin"
1915-02-13,41240,"Oesterreichs"
1915-02-13,50,"Wiens"
1915-02-13,41240,"Oesterreichs"
1914-03-24,92224,"Ehrbarsaal"
1905-03-03,50,"Wien"
1923-09-13,91159,"Lochau"
1923-09-13,228,"B.-B."
1922-06-09,860,"Graz"
1922-06-09,,"Grazer"
1922-06-09,873,"Triest"
1922-06-09,92551,"Stiftingthal"
1922-08-24,797,"Berchtesgaden"
1921-11-25,92156,"Ballplatz"
1921-11-25,483,"Reichenau"
1921-11-25,,"Wiener"
1921-11-25,168,"Berlin"
1921-11-25,,"Lemberger"
1928-12-27,168,"Berlin"
1928-12-27,91965,"Udine"
1928-12-27,168,"Berlin"
1928-12-27,168,"Berlin"
1923-09-07,2448,"Chur"
1923-09-07,44368,"Feldkirch"
1923-09-07,50,"Wien"
1923-09-07,40321,"Bregenz"
1923-09-07,40321,"Bregenz"
1922-08-30,797,"Berchtesgaden"
1922-08-30,90276,"Au"
1922-08-30,91653,"Salzberg"
1922-08-30,797,"Berchtesg."
1922-08-30,50,"Wien"
1916-12-22,,"franz."
1916-12-22,,"deutschen"
1905-03-17,38096,"Abbazia"
1905-03-17,872,"Stuttgart"
1905-03-17,91187,"Magdeburg"
1905-03-17,146,"Frankfurt"
1905-03-17,44246,"Fiume"
1905-03-17,44246,"Fiume"
1904-05-29,44246,"Fiume"
1904-05-29,90190,"Adelsberg"
1914-03-30,,"Prager"
1892-07-07,63,"Hietzing"
1922-01-14,63,"Hietzing"
1930-11-16,168,"Berlin"
1930-11-16,50,"Wien"
1930-11-16,334,"Schillertheater"
1930-11-16,50,"Wien"
1904-05-01,44246,"Fiume"
1904-05-01,38096,"Abbazia"
1904-05-01,44246,"Fiume"
1914-03-18,20,"Volkstheater"
1914-03-18,,"ungar."
1914-03-18,,"Franzosen"
1914-03-18,,"Pariser"
1931-10-09,96,"Meissl Schadn"
1891-10-03,56,"Mariahilf"
1893-06-18,662,"Baden"
1892-09-02,92123,"Ziemnitzwilddnis"
1882-08-12,40260,"Bozen"
1882-08-12,867,"Innsbruck"
1923-07-02,228,"B.-B."
1923-07-02,1003,"N. Oe."
1923-07-02,90409,"Bühlerhöhe"
1923-07-02,92450,"Plättig"
1923-07-02,61100,"Lichtental"
1923-07-02,731,"Garnisongasse"
1923-07-02,462,"Venedig"
1922-08-18,90883,"Hintersee"
1922-08-18,91562,"Ramsau"
1922-08-18,92083,"Wimbachklamm"
1922-08-18,92083,"Wimbachthal"
1922-08-18,92757,"Wimbach Restaur."
1904-02-08,129,"Grunewald"
1914-04-05,92533,"Sophienalpe"
1914-04-05,90913,"Hütteldorf"
1882-08-06,34946,"Pontresina"
1882-08-06,44374,"St. Moritz"
1882-08-06,34946,"Pontresina"
1923-07-16,43406,"Amerika"
1892-09-16,465,"Riva"
1892-09-16,91995,"Varone"
1892-09-16,954,"Trient"
1922-01-28,,"ungar."
1922-01-28,,"englisch"
1922-01-28,30,"Salzburg"
1905-04-22,91304,"Moskau"
1904-05-15,,"deutscher"
1904-05-15,901,"Palermo"
1904-05-15,,"deutsche"
1926-07-31,90188,"Adelboden"
1926-07-31,90424,"Bütschegg"
1926-07-31,49781,"Locarno"
1887-08-21,662,"Baden"
1887-08-21,50,"Wien"
1887-08-21,213,"Ischl"
1887-08-21,92259,"Grillstraße"
1887-08-21,50,"Wien"
1887-08-21,68,"Dornbach"
1887-08-21,213,"Ischl"
1887-08-21,874,"Gmunden"
1887-08-21,61000,"St. Wolfgang"
1887-08-21,213,"Ischl"
1887-08-21,483,"R."
1887-08-21,59367,"Schafberg"
1887-08-21,45258,"München"
1887-08-21,873,"Triest"
1887-08-21,877,"Unterach"
1887-08-21,213,"Ischl"
1887-08-21,213,"Ischl"
1887-08-21,213,"Ischl"
1887-08-21,213,"Ischl"
1887-08-21,88392,"Traunkirchen"
1927-06-06,8,"Prater"
1927-06-06,,"Freudenauer"
1919-06-17,20,"Volksth."
1910-05-15,14,"Burgtheater"
1910-05-15,169,"Pötzleinsdorf"
1910-05-15,176,"Dornbacher Park"
1910-05-15,182,"Paris"
1910-05-15,182,"Paris"
1911-04-22,36456,"Mentone"
1911-04-22,90456,"Castellar"
1918-07-20,113,"Türkenschanzpark"
1918-07-20,45258,"München"
1918-07-20,667,"Partenkirchen"
1918-07-20,50,"Wien"
1900-04-05,92156,"Ballplatz"
1900-04-05,103,"Volksgarten"
1900-04-05,90944,"Ithaka"
1900-04-05,38096,"Abbazia"
1897-09-25,91217,"M."
1894-10-24,864,"Leipzig"
1894-10-24,50,"Wien"
1896-08-12,92554,"Store Kongensgade"
1896-08-12,,"dänisch"
1896-08-12,,"französisch"
1896-08-12,,"deutsch"
1896-08-12,,"Deutsch"
1896-08-12,,"dänische"
1897-07-08,912,"Ebensee"
1908-06-24,92476,"Ratzes"
1908-06-24,988,"Seis"
1908-08-09,,"Seiser"
1909-07-13,397,"Frankgasse"
1909-07-13,50,"Wien"
1909-07-13,483,"Reichenau"
1910-02-08,189,"Semmering"
1900-03-18,92506,"Sacher"
1918-09-19,91239,"Michaelerberg"
1918-09-19,41240,"Oesterreichs"
1918-09-19,,"Franzosen"
1918-09-19,151,"Deutschlands"
1918-09-19,43406,"Amerika"
1918-09-19,151,"Deutschland"
1919-06-03,662,"Baden"
1919-06-03,92195,"Curpark"
1919-06-03,91665,"Sauerbrunn"
1919-06-03,60,"Favoriten"
1919-06-03,90727,"Gloggnitz"
1919-06-03,91274,"Mönichkirchen"
1910-05-01,44176,"Olmütz"
1926-07-25,90687,"Galizinberg"
1926-07-25,33929,"Lofer"
1926-07-25,43435,"Schweiz"
1926-07-25,166,"Frankreich"
