Person;Werk;Werk Titel
2121;29819;Spaziergang
2121;29821;Artifex
2121;29823;Das Märchen
2121;29831;Der Ehrentag
2121;29833;Die Toten schweigen
2121;29843;Der grüne Kakadu
2121;29845;Die Gefährtin
2121;29853;Lieutenant Gustl
2121;29855;Reigen. Zehn Dialoge
2121;29857;Der Schleier der Beatrice
2121;29859;Marionetten. Drei Einakter
2121;29863;Lebendige Stunden
2121;29865;Die Frau mit dem Dolche
2121;29869;Literatur
2121;29873;Der Puppenspieler
2121;29877;Die letzten Masken
2121;29893;Excentric
2121;29899;Freiwild. Schauspiel in 3 Akten
2121;29903;Zwischenspiel
2121;29905;Der Ruf des Lebens
2121;29917;Liebelei
2121;29921;Dämmerseelen
2121;29923;Der Weg ins Freie
2121;29931;Komtesse Mizzi oder Der Familientag
2121;29935;Anatol
2121;29937;Der junge Medardus
2121;29941;Fräulein Else
2121;29951;Zum großen Wurstel
2121;29957;Lebendige Stunden
2121;29985;Der einsame Weg
2121;30005;Abschiedssouper
2121;30033;Anatols Hochzeitsmorgen
2121;30051;Der Geist im Wort und der Geist in der Tat
2121;30053;Buch der Sprüche und Bedenken
2121;30057;Das Schicksal des Freiherrn von Leisenbohg
2121;30069;Amerika
2121;30073;Geschichte von einem greisen Dichter
2121;30075;Die Frau des Weisen. Erzählung
2121;30117;Sterben
2121;30143;Das Abenteuer seines Lebens
2121;30145;Denksteine
2121;30151;Morgenandacht
2121;30159;Agonie
2121;30161;Anatols Größenwahn
2121;30163;Weihnachts-Einkäufe
2121;30165;Die Braut
2121;30167;Die griechische Tänzerin. Novellette
2121;30169;Das Himmelbett
2121;30181;Anfang vom Ende
2121;30195;Familie
2121;30201;Doktor Gräsler, Badearzt
2121;30203;Professor Bernhardi
2121;30205;Komödie der Verführung
2121;30207;Das weite Land
2121;30209;Prinzessin Sibylle
2121;30211;Geschwister
2121;30213;Die Hirtenflöte
2121;30215;Der Schleier der Pierrette
2121;30217;Der tapfere Cassian
2121;30219;Das Vermächtnis
